"","x","y","group","foldchange"
"Loc99",0.078125,0.109375,"A",1
"Loc100",0.109375,0.109375,"A",1
"Loc101",0.140625,0.109375,"A",1
"Loc102",0.171875,0.109375,"A",1
"Loc103",0.203125,0.109375,"A",1
"Loc104",0.234375,0.109375,"A",1
"Loc105",0.265625,0.109375,"A",1
"Loc106",0.296875,0.109375,"A",1
"Loc107",0.328125,0.109375,"A",1
"Loc108",0.359375,0.109375,"A",1
"Loc109",0.390625,0.109375,"A",1
"Loc110",0.421875,0.109375,"A",1
"Loc111",0.453125,0.109375,"A",1
"Loc112",0.484375,0.109375,"A",1
"Loc113",0.515625,0.109375,"A",1
"Loc114",0.546875,0.109375,"A",1
"Loc115",0.578125,0.109375,"A",1
"Loc116",0.609375,0.109375,"A",1
"Loc117",0.640625,0.109375,"A",1
"Loc118",0.671875,0.109375,"A",1
"Loc119",0.703125,0.109375,"A",1
"Loc120",0.734375,0.109375,"A",1
"Loc121",0.765625,0.109375,"A",1
"Loc122",0.796875,0.109375,"A",1
"Loc123",0.828125,0.109375,"A",1
"Loc124",0.859375,0.109375,"A",1
"Loc125",0.890625,0.109375,"A",1
"Loc126",0.921875,0.109375,"A",1
"Loc127",0.953125,0.109375,"A",1
"Loc128",0.984375,0.109375,"A",1
"Loc129",0.015625,0.140625,"A",1
"Loc130",0.046875,0.140625,"A",1
"Loc131",0.078125,0.140625,"A",1
"Loc132",0.109375,0.140625,"A",1
"Loc133",0.140625,0.140625,"A",1
"Loc134",0.171875,0.140625,"A",1
"Loc135",0.203125,0.140625,"A",1
"Loc136",0.234375,0.140625,"A",1
"Loc137",0.265625,0.140625,"A",1
"Loc138",0.296875,0.140625,"A",1
"Loc139",0.328125,0.140625,"A",1
"Loc140",0.359375,0.140625,"A",1
"Loc141",0.390625,0.140625,"A",1
"Loc142",0.421875,0.140625,"A",1
"Loc143",0.453125,0.140625,"A",1
"Loc144",0.484375,0.140625,"A",1
"Loc145",0.515625,0.140625,"A",1
"Loc146",0.546875,0.140625,"A",1
"Loc147",0.578125,0.140625,"A",1
"Loc148",0.609375,0.140625,"A",1
"Loc149",0.640625,0.140625,"A",1
"Loc150",0.671875,0.140625,"A",1
"Loc151",0.703125,0.140625,"A",1
"Loc152",0.734375,0.140625,"A",1
"Loc153",0.765625,0.140625,"A",1
"Loc154",0.796875,0.140625,"A",1
"Loc155",0.828125,0.140625,"A",1
"Loc156",0.859375,0.140625,"A",1
"Loc157",0.890625,0.140625,"A",1
"Loc158",0.921875,0.140625,"A",1
"Loc159",0.953125,0.140625,"A",1
"Loc160",0.984375,0.140625,"A",1
"Loc161",0.015625,0.171875,"A",1
"Loc162",0.046875,0.171875,"A",1
"Loc163",0.078125,0.171875,"A",1
"Loc164",0.109375,0.171875,"A",1
"Loc165",0.140625,0.171875,"A",1
"Loc166",0.171875,0.171875,"A",1
"Loc167",0.203125,0.171875,"A",1
"Loc168",0.234375,0.171875,"A",1
"Loc169",0.265625,0.171875,"A",1
"Loc170",0.296875,0.171875,"A",1
"Loc171",0.328125,0.171875,"A",1
"Loc172",0.359375,0.171875,"A",1
"Loc173",0.390625,0.171875,"A",1
"Loc174",0.421875,0.171875,"A",1
"Loc175",0.453125,0.171875,"A",1
"Loc176",0.484375,0.171875,"A",1
"Loc177",0.515625,0.171875,"A",1
"Loc178",0.546875,0.171875,"A",1
"Loc179",0.578125,0.171875,"A",1
"Loc180",0.609375,0.171875,"A",1
"Loc181",0.640625,0.171875,"A",1
"Loc182",0.671875,0.171875,"A",1
"Loc183",0.703125,0.171875,"A",1
"Loc184",0.734375,0.171875,"A",1
"Loc185",0.765625,0.171875,"A",1
"Loc186",0.796875,0.171875,"A",1
"Loc187",0.828125,0.171875,"A",1
"Loc188",0.859375,0.171875,"A",1
"Loc189",0.890625,0.171875,"A",1
"Loc190",0.921875,0.171875,"A",1
"Loc191",0.953125,0.171875,"A",1
"Loc192",0.984375,0.171875,"A",1
"Loc193",0.015625,0.203125,"A",1
"Loc194",0.046875,0.203125,"A",1
"Loc195",0.078125,0.203125,"A",1
"Loc196",0.109375,0.203125,"A",1
"Loc197",0.140625,0.203125,"A",1
"Loc198",0.171875,0.203125,"A",1
"Loc199",0.203125,0.203125,"A",1
"Loc200",0.234375,0.203125,"A",1
"Loc201",0.265625,0.203125,"A",1
"Loc202",0.296875,0.203125,"A",1
"Loc203",0.328125,0.203125,"A",1
"Loc204",0.359375,0.203125,"A",1
"Loc205",0.390625,0.203125,"A",1
"Loc206",0.421875,0.203125,"A",1
"Loc207",0.453125,0.203125,"A",1
"Loc208",0.484375,0.203125,"A",1
"Loc209",0.515625,0.203125,"A",1
"Loc210",0.546875,0.203125,"A",1
"Loc211",0.578125,0.203125,"A",1
"Loc212",0.609375,0.203125,"A",1
"Loc213",0.640625,0.203125,"A",1
"Loc214",0.671875,0.203125,"A",1
"Loc215",0.703125,0.203125,"A",1
"Loc216",0.734375,0.203125,"A",1
"Loc217",0.765625,0.203125,"A",1
"Loc218",0.796875,0.203125,"A",1
"Loc219",0.828125,0.203125,"A",1
"Loc220",0.859375,0.203125,"A",1
"Loc221",0.890625,0.203125,"A",1
"Loc222",0.921875,0.203125,"A",1
"Loc223",0.953125,0.203125,"A",1
"Loc224",0.984375,0.203125,"A",1
"Loc225",0.015625,0.234375,"A",1
"Loc226",0.046875,0.234375,"A",1
"Loc227",0.078125,0.234375,"A",1
"Loc228",0.109375,0.234375,"A",1
"Loc229",0.140625,0.234375,"A",1
"Loc230",0.171875,0.234375,"A",1
"Loc231",0.203125,0.234375,"A",1
"Loc232",0.234375,0.234375,"A",1
"Loc233",0.265625,0.234375,"A",1
"Loc234",0.296875,0.234375,"A",1
"Loc235",0.328125,0.234375,"A",1
"Loc236",0.359375,0.234375,"A",1
"Loc237",0.390625,0.234375,"A",1
"Loc238",0.421875,0.234375,"A",1
"Loc239",0.453125,0.234375,"A",1
"Loc240",0.484375,0.234375,"A",1
"Loc241",0.515625,0.234375,"A",1
"Loc242",0.546875,0.234375,"A",1
"Loc243",0.578125,0.234375,"A",1
"Loc244",0.609375,0.234375,"A",1
"Loc245",0.640625,0.234375,"A",1
"Loc246",0.671875,0.234375,"A",1
"Loc247",0.703125,0.234375,"A",1
"Loc248",0.734375,0.234375,"A",1
"Loc249",0.765625,0.234375,"A",1
"Loc250",0.796875,0.234375,"A",1
"Loc251",0.828125,0.234375,"A",1
"Loc252",0.859375,0.234375,"A",1
"Loc253",0.890625,0.234375,"A",1
"Loc254",0.921875,0.234375,"A",1
"Loc255",0.953125,0.234375,"A",1
"Loc256",0.984375,0.234375,"A",1
"Loc257",0.015625,0.265625,"A",1
"Loc258",0.046875,0.265625,"A",1
"Loc259",0.078125,0.265625,"A",1
"Loc260",0.109375,0.265625,"A",1
"Loc261",0.140625,0.265625,"A",1
"Loc262",0.171875,0.265625,"A",1
"Loc263",0.203125,0.265625,"A",1
"Loc264",0.234375,0.265625,"A",1
"Loc265",0.265625,0.265625,"A",1
"Loc266",0.296875,0.265625,"A",1
"Loc267",0.328125,0.265625,"A",1
"Loc268",0.359375,0.265625,"A",1
"Loc269",0.390625,0.265625,"A",1
"Loc270",0.421875,0.265625,"A",1
"Loc271",0.453125,0.265625,"A",1
"Loc272",0.484375,0.265625,"A",1
"Loc273",0.515625,0.265625,"A",1
"Loc274",0.546875,0.265625,"A",1
"Loc275",0.578125,0.265625,"A",1
"Loc276",0.609375,0.265625,"A",1
"Loc277",0.640625,0.265625,"A",1
"Loc278",0.671875,0.265625,"A",1
"Loc279",0.703125,0.265625,"A",1
"Loc280",0.734375,0.265625,"A",1
"Loc281",0.765625,0.265625,"A",1
"Loc282",0.796875,0.265625,"A",1
"Loc283",0.828125,0.265625,"A",1
"Loc284",0.859375,0.265625,"A",1
"Loc285",0.890625,0.265625,"A",1
"Loc286",0.921875,0.265625,"A",1
"Loc287",0.953125,0.265625,"A",1
"Loc288",0.984375,0.265625,"A",1
"Loc289",0.015625,0.296875,"A",1
"Loc290",0.046875,0.296875,"A",1
"Loc291",0.078125,0.296875,"A",1
"Loc292",0.109375,0.296875,"A",1
"Loc293",0.140625,0.296875,"A",1
"Loc294",0.171875,0.296875,"A",1
"Loc295",0.203125,0.296875,"A",1
"Loc296",0.234375,0.296875,"A",1
"Loc297",0.265625,0.296875,"A",1
"Loc298",0.296875,0.296875,"A",1
"Loc299",0.328125,0.296875,"A",1
"Loc300",0.359375,0.296875,"A",1
"Loc301",0.390625,0.296875,"A",1
"Loc302",0.421875,0.296875,"A",1
"Loc303",0.453125,0.296875,"A",1
"Loc304",0.484375,0.296875,"A",1
"Loc305",0.515625,0.296875,"A",1
"Loc306",0.546875,0.296875,"A",1
"Loc307",0.578125,0.296875,"A",1
"Loc308",0.609375,0.296875,"A",1
"Loc309",0.640625,0.296875,"A",1
"Loc310",0.671875,0.296875,"A",1
"Loc311",0.703125,0.296875,"A",1
"Loc312",0.734375,0.296875,"A",1
"Loc313",0.765625,0.296875,"A",1
"Loc314",0.796875,0.296875,"A",1
"Loc315",0.828125,0.296875,"A",1
"Loc316",0.859375,0.296875,"A",1
"Loc317",0.890625,0.296875,"A",1
"Loc318",0.921875,0.296875,"A",1
"Loc319",0.953125,0.296875,"A",1
"Loc320",0.984375,0.296875,"A",1
"Loc321",0.015625,0.328125,"A",1
"Loc322",0.046875,0.328125,"A",1
"Loc323",0.078125,0.328125,"A",1
"Loc324",0.109375,0.328125,"A",1
"Loc325",0.140625,0.328125,"A",1
"Loc326",0.171875,0.328125,"A",1
"Loc327",0.203125,0.328125,"A",1
"Loc328",0.234375,0.328125,"A",1
"Loc329",0.265625,0.328125,"A",1
"Loc330",0.296875,0.328125,"A",1
"Loc331",0.328125,0.328125,"A",1
"Loc332",0.359375,0.328125,"A",1
"Loc333",0.390625,0.328125,"A",1
"Loc334",0.421875,0.328125,"A",1
"Loc335",0.453125,0.328125,"A",1
"Loc336",0.484375,0.328125,"A",1
"Loc337",0.515625,0.328125,"A",1
"Loc338",0.546875,0.328125,"A",1
"Loc339",0.578125,0.328125,"A",1
"Loc340",0.609375,0.328125,"A",1
"Loc341",0.640625,0.328125,"A",1
"Loc342",0.671875,0.328125,"A",1
"Loc343",0.703125,0.328125,"A",1
"Loc344",0.734375,0.328125,"A",1
"Loc345",0.765625,0.328125,"A",1
"Loc346",0.796875,0.328125,"A",1
"Loc347",0.828125,0.328125,"A",1
"Loc348",0.859375,0.328125,"A",1
"Loc349",0.890625,0.328125,"A",1
"Loc350",0.921875,0.328125,"A",1
"Loc351",0.953125,0.328125,"A",1
"Loc352",0.984375,0.328125,"A",1
"Loc353",0.015625,0.359375,"A",1
"Loc354",0.046875,0.359375,"A",1
"Loc355",0.078125,0.359375,"A",1
"Loc356",0.109375,0.359375,"A",1
"Loc357",0.140625,0.359375,"A",1
"Loc358",0.171875,0.359375,"A",1
"Loc359",0.203125,0.359375,"A",1
"Loc360",0.234375,0.359375,"A",1
"Loc361",0.265625,0.359375,"A",1
"Loc362",0.296875,0.359375,"A",1
"Loc363",0.328125,0.359375,"A",1
"Loc364",0.359375,0.359375,"A",1
"Loc365",0.390625,0.359375,"A",1
"Loc366",0.421875,0.359375,"A",1
"Loc367",0.453125,0.359375,"A",1
"Loc368",0.484375,0.359375,"A",1
"Loc369",0.515625,0.359375,"A",1
"Loc370",0.546875,0.359375,"A",1
"Loc371",0.578125,0.359375,"A",1
"Loc372",0.609375,0.359375,"A",1
"Loc373",0.640625,0.359375,"A",1
"Loc374",0.671875,0.359375,"A",1
"Loc375",0.703125,0.359375,"A",1
"Loc376",0.734375,0.359375,"A",1
"Loc377",0.765625,0.359375,"A",1
"Loc378",0.796875,0.359375,"A",1
"Loc379",0.828125,0.359375,"A",1
"Loc380",0.859375,0.359375,"A",1
"Loc381",0.890625,0.359375,"A",1
"Loc382",0.921875,0.359375,"A",1
"Loc383",0.953125,0.359375,"A",1
"Loc384",0.984375,0.359375,"A",1
"Loc385",0.015625,0.390625,"A",1
"Loc386",0.046875,0.390625,"A",1
"Loc387",0.078125,0.390625,"A",1
"Loc388",0.109375,0.390625,"A",1
"Loc389",0.140625,0.390625,"A",1
"Loc390",0.171875,0.390625,"A",1
"Loc391",0.203125,0.390625,"A",1
"Loc392",0.234375,0.390625,"A",1
"Loc393",0.265625,0.390625,"A",1
"Loc394",0.296875,0.390625,"A",1
"Loc395",0.328125,0.390625,"A",1
"Loc396",0.359375,0.390625,"A",1
"Loc397",0.390625,0.390625,"A",1
"Loc398",0.421875,0.390625,"A",1
"Loc399",0.453125,0.390625,"A",1
"Loc400",0.484375,0.390625,"A",1
"Loc401",0.515625,0.390625,"A",1
"Loc402",0.546875,0.390625,"A",1
"Loc403",0.578125,0.390625,"A",1
"Loc404",0.609375,0.390625,"A",1
"Loc405",0.640625,0.390625,"A",1
"Loc406",0.671875,0.390625,"A",1
"Loc407",0.703125,0.390625,"A",1
"Loc408",0.734375,0.390625,"A",1
"Loc409",0.765625,0.390625,"A",1
"Loc410",0.796875,0.390625,"A",1
"Loc411",0.828125,0.390625,"A",1
"Loc412",0.859375,0.390625,"A",1
"Loc413",0.890625,0.390625,"A",1
"Loc414",0.921875,0.390625,"A",1
"Loc415",0.953125,0.390625,"A",1
"Loc416",0.984375,0.390625,"A",1
"Loc417",0.015625,0.421875,"A",1
"Loc418",0.046875,0.421875,"A",1
"Loc419",0.078125,0.421875,"A",1
"Loc420",0.109375,0.421875,"A",1
"Loc421",0.140625,0.421875,"A",1
"Loc422",0.171875,0.421875,"A",1
"Loc423",0.203125,0.421875,"A",1
"Loc424",0.234375,0.421875,"A",1
"Loc425",0.265625,0.421875,"A",1
"Loc426",0.296875,0.421875,"A",1
"Loc427",0.328125,0.421875,"A",1
"Loc428",0.359375,0.421875,"A",1
"Loc429",0.390625,0.421875,"A",1
"Loc430",0.421875,0.421875,"A",1
"Loc431",0.453125,0.421875,"A",1
"Loc432",0.484375,0.421875,"A",1
"Loc433",0.515625,0.421875,"A",1
"Loc434",0.546875,0.421875,"A",1
"Loc435",0.578125,0.421875,"A",1
"Loc436",0.609375,0.421875,"A",1
"Loc437",0.640625,0.421875,"A",1
"Loc438",0.671875,0.421875,"A",1
"Loc439",0.703125,0.421875,"A",1
"Loc440",0.734375,0.421875,"A",1
"Loc441",0.765625,0.421875,"A",1
"Loc442",0.796875,0.421875,"A",1
"Loc443",0.828125,0.421875,"A",1
"Loc444",0.859375,0.421875,"A",1
"Loc445",0.890625,0.421875,"A",1
"Loc446",0.921875,0.421875,"A",1
"Loc447",0.953125,0.421875,"A",1
"Loc448",0.984375,0.421875,"A",1
"Loc449",0.015625,0.453125,"A",1
"Loc450",0.046875,0.453125,"A",1
"Loc451",0.078125,0.453125,"A",1
"Loc452",0.109375,0.453125,"A",1
"Loc453",0.140625,0.453125,"A",1
"Loc454",0.171875,0.453125,"A",1
"Loc455",0.203125,0.453125,"A",1
"Loc456",0.234375,0.453125,"A",1
"Loc457",0.265625,0.453125,"A",1
"Loc458",0.296875,0.453125,"A",1
"Loc459",0.328125,0.453125,"A",1
"Loc460",0.359375,0.453125,"A",1
"Loc461",0.390625,0.453125,"A",1
"Loc462",0.421875,0.453125,"A",1
"Loc463",0.453125,0.453125,"A",1
"Loc464",0.484375,0.453125,"A",1
"Loc465",0.515625,0.453125,"A",1
"Loc466",0.546875,0.453125,"A",1
"Loc467",0.578125,0.453125,"A",1
"Loc468",0.609375,0.453125,"A",1
"Loc469",0.640625,0.453125,"A",1
"Loc470",0.671875,0.453125,"A",1
"Loc471",0.703125,0.453125,"A",1
"Loc472",0.734375,0.453125,"A",1
"Loc473",0.765625,0.453125,"A",1
"Loc474",0.796875,0.453125,"A",1
"Loc475",0.828125,0.453125,"A",1
"Loc476",0.859375,0.453125,"A",1
"Loc477",0.890625,0.453125,"A",1
"Loc478",0.921875,0.453125,"A",1
"Loc479",0.953125,0.453125,"A",1
"Loc480",0.984375,0.453125,"A",1
"Loc481",0.015625,0.484375,"A",1
"Loc482",0.046875,0.484375,"A",1
"Loc483",0.078125,0.484375,"A",1
"Loc484",0.109375,0.484375,"A",1
"Loc485",0.140625,0.484375,"A",1
"Loc486",0.171875,0.484375,"A",1
"Loc487",0.203125,0.484375,"A",1
"Loc488",0.234375,0.484375,"A",1
"Loc489",0.265625,0.484375,"A",1
"Loc490",0.296875,0.484375,"A",1
"Loc491",0.328125,0.484375,"A",1
"Loc492",0.359375,0.484375,"A",1
"Loc493",0.390625,0.484375,"A",1
"Loc494",0.421875,0.484375,"A",1
"Loc495",0.453125,0.484375,"A",1
"Loc496",0.484375,0.484375,"A",1
"Loc497",0.515625,0.484375,"A",1
"Loc498",0.546875,0.484375,"A",1
"Loc499",0.578125,0.484375,"A",1
"Loc500",0.609375,0.484375,"A",1
"Loc501",0.640625,0.484375,"A",1
"Loc502",0.671875,0.484375,"A",1
"Loc503",0.703125,0.484375,"A",1
"Loc504",0.734375,0.484375,"A",1
"Loc505",0.765625,0.484375,"A",1
"Loc506",0.796875,0.484375,"A",1
"Loc507",0.828125,0.484375,"A",1
"Loc508",0.859375,0.484375,"A",1
"Loc509",0.890625,0.484375,"A",1
"Loc510",0.921875,0.484375,"A",1
"Loc511",0.953125,0.484375,"A",1
"Loc512",0.984375,0.484375,"A",1
"Loc513",0.015625,0.515625,"B",10
"Loc514",0.046875,0.515625,"B",10
"Loc515",0.078125,0.515625,"B",10
"Loc516",0.109375,0.515625,"B",10
"Loc517",0.140625,0.515625,"B",10
"Loc518",0.171875,0.515625,"B",10
"Loc519",0.203125,0.515625,"B",10
"Loc520",0.234375,0.515625,"B",10
"Loc521",0.265625,0.515625,"B",10
"Loc522",0.296875,0.515625,"B",10
"Loc523",0.328125,0.515625,"B",10
"Loc524",0.359375,0.515625,"B",10
"Loc525",0.390625,0.515625,"B",10
"Loc526",0.421875,0.515625,"B",10
"Loc527",0.453125,0.515625,"B",10
"Loc528",0.484375,0.515625,"B",10
"Loc529",0.515625,0.515625,"B",10
"Loc530",0.546875,0.515625,"B",10
"Loc531",0.578125,0.515625,"B",10
"Loc532",0.609375,0.515625,"B",10
"Loc533",0.640625,0.515625,"B",10
"Loc534",0.671875,0.515625,"B",10
"Loc535",0.703125,0.515625,"B",10
"Loc536",0.734375,0.515625,"B",10
"Loc537",0.765625,0.515625,"B",10
"Loc538",0.796875,0.515625,"B",10
"Loc539",0.828125,0.515625,"B",10
"Loc540",0.859375,0.515625,"B",10
"Loc541",0.890625,0.515625,"B",10
"Loc542",0.921875,0.515625,"B",10
"Loc543",0.953125,0.515625,"B",10
"Loc544",0.984375,0.515625,"B",10
"Loc545",0.015625,0.546875,"B",10
"Loc546",0.046875,0.546875,"B",10
"Loc547",0.078125,0.546875,"B",10
"Loc548",0.109375,0.546875,"B",10
"Loc549",0.140625,0.546875,"B",10
"Loc550",0.171875,0.546875,"B",10
"Loc551",0.203125,0.546875,"B",10
"Loc552",0.234375,0.546875,"B",10
"Loc553",0.265625,0.546875,"B",10
"Loc554",0.296875,0.546875,"B",10
"Loc555",0.328125,0.546875,"B",10
"Loc556",0.359375,0.546875,"B",10
"Loc557",0.390625,0.546875,"B",10
"Loc558",0.421875,0.546875,"B",10
"Loc559",0.453125,0.546875,"B",10
"Loc560",0.484375,0.546875,"B",10
"Loc561",0.515625,0.546875,"B",10
"Loc562",0.546875,0.546875,"B",10
"Loc563",0.578125,0.546875,"B",10
"Loc564",0.609375,0.546875,"B",10
"Loc565",0.640625,0.546875,"B",10
"Loc566",0.671875,0.546875,"B",10
"Loc567",0.703125,0.546875,"B",10
"Loc568",0.734375,0.546875,"B",10
"Loc569",0.765625,0.546875,"B",10
"Loc570",0.796875,0.546875,"B",10
"Loc571",0.828125,0.546875,"B",10
"Loc572",0.859375,0.546875,"B",10
"Loc573",0.890625,0.546875,"B",10
"Loc574",0.921875,0.546875,"B",10
"Loc575",0.953125,0.546875,"B",10
"Loc576",0.984375,0.546875,"B",10
"Loc577",0.015625,0.578125,"B",10
"Loc578",0.046875,0.578125,"B",10
"Loc579",0.078125,0.578125,"B",10
"Loc580",0.109375,0.578125,"B",10
"Loc581",0.140625,0.578125,"B",10
"Loc582",0.171875,0.578125,"B",10
"Loc583",0.203125,0.578125,"B",10
"Loc584",0.234375,0.578125,"B",10
"Loc585",0.265625,0.578125,"B",10
"Loc586",0.296875,0.578125,"B",10
"Loc587",0.328125,0.578125,"B",10
"Loc588",0.359375,0.578125,"B",10
"Loc589",0.390625,0.578125,"B",10
"Loc590",0.421875,0.578125,"B",10
"Loc591",0.453125,0.578125,"B",10
"Loc592",0.484375,0.578125,"B",10
"Loc593",0.515625,0.578125,"B",10
"Loc594",0.546875,0.578125,"B",10
"Loc595",0.578125,0.578125,"B",10
"Loc596",0.609375,0.578125,"B",10
"Loc597",0.640625,0.578125,"B",10
"Loc598",0.671875,0.578125,"B",10
"Loc599",0.703125,0.578125,"B",10
"Loc600",0.734375,0.578125,"B",10
"Loc601",0.765625,0.578125,"B",10
"Loc602",0.796875,0.578125,"B",10
"Loc603",0.828125,0.578125,"B",10
"Loc604",0.859375,0.578125,"B",10
"Loc605",0.890625,0.578125,"B",10
"Loc606",0.921875,0.578125,"B",10
"Loc607",0.953125,0.578125,"B",10
"Loc608",0.984375,0.578125,"B",10
"Loc609",0.015625,0.609375,"B",10
"Loc610",0.046875,0.609375,"B",10
"Loc611",0.078125,0.609375,"B",10
"Loc612",0.109375,0.609375,"B",10
"Loc613",0.140625,0.609375,"B",10
"Loc614",0.171875,0.609375,"B",10
"Loc615",0.203125,0.609375,"B",10
"Loc616",0.234375,0.609375,"B",10
"Loc617",0.265625,0.609375,"B",10
"Loc618",0.296875,0.609375,"B",10
"Loc619",0.328125,0.609375,"B",10
"Loc620",0.359375,0.609375,"B",10
"Loc621",0.390625,0.609375,"B",10
"Loc622",0.421875,0.609375,"B",10
"Loc623",0.453125,0.609375,"B",10
"Loc624",0.484375,0.609375,"B",10
"Loc625",0.515625,0.609375,"B",10
"Loc626",0.546875,0.609375,"B",10
"Loc627",0.578125,0.609375,"B",10
"Loc628",0.609375,0.609375,"B",10
"Loc629",0.640625,0.609375,"B",10
"Loc630",0.671875,0.609375,"B",10
"Loc631",0.703125,0.609375,"B",10
"Loc632",0.734375,0.609375,"B",10
"Loc633",0.765625,0.609375,"B",10
"Loc634",0.796875,0.609375,"B",10
"Loc635",0.828125,0.609375,"B",10
"Loc636",0.859375,0.609375,"B",10
"Loc637",0.890625,0.609375,"B",10
"Loc638",0.921875,0.609375,"B",10
"Loc639",0.953125,0.609375,"B",10
"Loc640",0.984375,0.609375,"B",10
"Loc641",0.015625,0.640625,"B",10
"Loc642",0.046875,0.640625,"B",10
"Loc643",0.078125,0.640625,"B",10
"Loc644",0.109375,0.640625,"B",10
"Loc645",0.140625,0.640625,"B",10
"Loc646",0.171875,0.640625,"B",10
"Loc647",0.203125,0.640625,"B",10
"Loc648",0.234375,0.640625,"B",10
"Loc649",0.265625,0.640625,"B",10
"Loc650",0.296875,0.640625,"B",10
"Loc651",0.328125,0.640625,"B",10
"Loc652",0.359375,0.640625,"B",10
"Loc653",0.390625,0.640625,"B",10
"Loc654",0.421875,0.640625,"B",10
"Loc655",0.453125,0.640625,"B",10
"Loc656",0.484375,0.640625,"B",10
"Loc657",0.515625,0.640625,"B",10
"Loc658",0.546875,0.640625,"B",10
"Loc659",0.578125,0.640625,"B",10
"Loc660",0.609375,0.640625,"B",10
"Loc661",0.640625,0.640625,"B",10
"Loc662",0.671875,0.640625,"B",10
"Loc663",0.703125,0.640625,"B",10
"Loc664",0.734375,0.640625,"B",10
"Loc665",0.765625,0.640625,"B",10
